Country,CancerSiteICD10Code,CancerSite,Sex,SexQF,Year,IncidencesAgeUnder5,IncidencesAge5To9,IncidencesAge10To14,IncidencesAge15To19,IncidencesAge20To24,IncidencesAge25To29,IncidencesAge30To34,IncidencesAge35To39,IncidencesAge40To44,IncidencesAge45To49,IncidencesAge50To54,IncidencesAge55To59,IncidencesAge60To64,IncidencesAge65To69,IncidencesAge70To74,IncidencesAge75To79,IncidencesAge80To84,IncidencesAge85To89,IncidencesAge90AndOver,IncidencesAllAges,IncidenceRateAgeUnder5,IncidenceRateAge5To9,IncidenceRateAge10To14,IncidenceRateAge15To19,IncidenceRateAge20To24,IncidenceRateAge25To29,IncidenceRateAge30To34,IncidenceRateAge35To39,IncidenceRateAge40To44,IncidenceRateAge45To49,IncidenceRateAge50To54,IncidenceRateAge55To59,IncidenceRateAge60To64,IncidenceRateAge65To69,IncidenceRateAge70To74,IncidenceRateAge75To79,IncidenceRateAge80To84,IncidenceRateAge85To89,IncidenceRateAge90AndOver,CrudeRate,CrudeRateLower95pcConfidenceInterval,CrudeRateUpper95pcConfidenceInterval,EASR,EASRLower95pcConfidenceInterval,EASRLower95pcConfidenceIntervalQF,EASRUpper95pcConfidenceInterval,EASRUpper95pcConfidenceIntervalQF,WASR,WASRLower95pcConfidenceInterval,WASRLower95pcConfidenceIntervalQF,WASRUpper95pcConfidenceInterval,WASRUpper95pcConfidenceIntervalQF,StandardisedIncidenceRatio,StandardisedIncidenceRatioQF
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1997,57,38,38,57,113,194,316,426,608,1068,1577,2104,2793,3645,4143,4000,2767,1571,685,26200,18.8302142349813,11.7365454405065,11.8687318260044,18.0818058965721,35.0875013972899,51.1886857173012,77.8747104342254,109.635013202526,175.008347437624,313.981896062585,495.58156197755,770.097945917456,1082.28966457933,1519.3260778045,2010.71605369675,2525.15687537088,2712.93127959762,2724.35619526576,2739.23301475587,515.409160119134,509.186879626898,521.68849670035,656.794748451115,648.339173555162,NA,665.304347259287,NA,298.2965652493,294.386604063146,NA,302.231964274045,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1998,59,25,35,57,89,176,305,456,648,912,1621,2096,2757,3636,4248,3919,2579,1490,657,25765,19.9061375008013,7.79539884378644,10.8230462855305,17.9067341886679,28.7613550799339,48.4406780594004,75.8176498517206,115.642997892559,182.484321273786,272.892117846307,491.081166234459,758.211546809434,1058.34526546923,1516.48489145622,2064.95267816779,2382.32737396886,2636.6368822459,2538.71973556423,2518.495802507,507.477738144245,501.299863914409,513.712739925991,638.777531848068,630.54042641047,NA,647.067352205911,NA,291.385267875793,287.53950405018,NA,295.256225927691,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,1999,56,28,31,51,90,179,302,422,631,924,1666,2080,2840,3511,4124,4022,2514,1711,670,25852,19.2896583319268,8.79258910346993,9.54965667443988,16.0541433855355,29.2795284043958,51.7299178101194,76.1647276606584,105.741619600788,173.774627252048,277.839586728649,492.903783169673,740.817249644728,1082.44082783855,1470.82849829709,2004.75424260249,2363.60217202228,2664.49041885705,2897.98614522112,2472.78095589592,509.705340155167,503.510765887879,515.957099440764,635.949736144067,627.790049044151,NA,644.161380252421,NA,289.267582847428,285.448076845791,NA,293.112122228486,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2000,44,35,27,47,99,187,300,441,659,983,1711,2118,2923,3457,4124,4019,2717,1574,707,26172,15.536009999541,11.1699038111712,8.36213624707325,14.7847094647306,31.9762277740993,56.6714751554677,77.5728991319593,109.413533536116,177.482601857238,294.879948163525,494.704550645776,748.428406356341,1110.41043018432,1448.63768553206,1996.37902156128,2418.50556936279,2705.23223975706,2651.39391897583,2498.58637263217,516.932849293098,510.688846687472,523.234137946469,637.163954217955,629.082415937797,NA,645.296358180193,NA,291.131129462782,287.308501799412,NA,294.978670034962,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2001,56,31,36,51,113,156,280,420,661,922,1675,2217,2891,3561,4110,3973,2694,1608,746,26201,20.27068605413,10.1369137348641,11.1481684488253,16.05768171156,35.828088587327,49.5418962478365,73.4451273092591,104.158400126974,174.457887291231,272.613303056107,477.367099574502,764.119143304221,1105.32936215117,1487.07112551365,1983.80136887121,2398.9228093904,2538.42022444384,2706.66060697874,2538.71022630594,517.376880849887,511.130963874148,523.680069554196,631.155854654528,623.179293972288,NA,639.182438690176,NA,289.096282471258,285.289266189149,NA,292.928183003812,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2002,62,39,51,61,106,169,296,435,729,959,1646,2244,2986,3635,4135,4032,2976,1471,739,26771,22.9813480413961,12.9852401104078,15.7897669925757,19.1466254857279,32.7994653068297,56.0738980981326,79.8629379308484,108.020322720026,188.76914233038,277.010710695675,488.407009797813,719.350661007604,1138.9208858104,1517.10552126243,1976.47351238702,2452.76361733968,2658.42459757383,2534.02239448751,2490.7313784968,528.444532175286,522.133081628257,534.813232824779,638.438548756695,630.462342214203,NA,646.464200077063,NA,293.929143168301,290.086563848903,NA,297.796655807809,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2003,58,43,38,78,96,144,298,454,675,1042,1539,2293,2957,3663,4233,4086,3127,1515,798,27137,21.8765558757412,14.5392085260624,11.8737755168998,24.3049713014377,29.2246339310177,49.1169187319649,83.1048878502327,113.403040400458,171.812121536077,294.656592163605,464.188981317826,707.73789314485,1113.7224770815,1512.26782374628,2013.65268891373,2482.69827863822,2690.79519150511,2732.1911632101,2672.74006095723,535.40495215547,529.053511235101,541.813614141893,642.400744630248,634.419819391366,NA,650.430866131154,NA,292.959222171722,289.149536772535,NA,296.793496150222,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2004,51,41,46,55,99,157,257,449,711,1062,1680,2426,3146,3906,4106,4017,3278,1552,811,27850,19.338325907669,14.0405188827856,14.4248106743599,17.0516199038909,29.989458251039,53.212041512171,74.5152161811097,113.150109118034,178.145482972198,293.303726780122,508.499200929827,728.966346153846,1162.58444073258,1596.44906567267,1950.6679588773,2427.26366355479,2722.22960403933,2872.79727528506,2688.54632852644,547.764687370926,541.350099986954,554.236316495527,651.427040984324,643.430207488086,NA,659.472579083685,NA,298.388914977044,294.564550923157,NA,302.237604302391,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2005,54,22,36,60,119,156,248,512,756,1026,1533,2542,2973,3783,4219,4030,3114,1580,772,27535,20.33944269927,7.63687360279926,11.412051125989,18.5880516004312,35.4518019346555,51.519494844748,74.2372718999952,131.27027061674,186.185801608685,276.651279175115,461.943174661528,744.838579239456,1087.20694232647,1538.80572730231,1994.2050358522,2408.87518081507,2633.27019347856,2689.31592653742,2522.05161711859,538.824312159994,532.478536311489,545.226841299095,631.404920281619,623.668723164493,NA,639.188143800313,NA,290.277269166181,286.535887885016,NA,294.042582974718,NA,100,NA
S92000003,"C00-C97, excluding C44",All cancer types,All,d,2006,51,21,26,60,113,155,266,447,704,1107,1622,2450,3086,3857,4262,4066,3233,1737,816,28079,19.0378779112088,7.41588270192389,8.37639660304901,18.4589258135772,33.3897709107134,49.6551370641961,82.6721118373411,115.656291236513,172.686576316919,292.305783007185,481.901938006376,707.319748944794,1099.9900195332,1578.60917042185,2003.06428417006,2411.38200774536,2735.65747165341,2747.24405712749,2662.49021143305,547.029027858952,540.649155157969,553.46540064301,640.431374202428,632.657537533561,NA,648.25202406148,NA,292.043083904655,288.318636818028,NA,295.791102369088,NA,100,NA
